input_vis,input_category,model0,model1
https://raw.githubusercontent.com/omriav/public/master/amt_data/000/input_visualizations.jpg,giraffe,https://raw.githubusercontent.com/omriav/public/master/amt_data/000/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/000/paint_by_example.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/001/input_visualizations.jpg,bird,https://raw.githubusercontent.com/omriav/public/master/amt_data/001/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/001/paint_by_example.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/002/input_visualizations.jpg,bear,https://raw.githubusercontent.com/omriav/public/master/amt_data/002/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/002/paint_by_example.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/003/input_visualizations.jpg,horse,https://raw.githubusercontent.com/omriav/public/master/amt_data/003/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/003/paint_by_example.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/004/input_visualizations.jpg,pew (church bench),https://raw.githubusercontent.com/omriav/public/master/amt_data/004/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/004/paint_by_example.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/005/input_visualizations.jpg,refrigerator,https://raw.githubusercontent.com/omriav/public/master/amt_data/005/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/005/paint_by_example.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/006/input_visualizations.jpg,bench,https://raw.githubusercontent.com/omriav/public/master/amt_data/006/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/006/paint_by_example.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/007/input_visualizations.jpg,sheep,https://raw.githubusercontent.com/omriav/public/master/amt_data/007/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/007/paint_by_example.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/008/input_visualizations.jpg,bird,https://raw.githubusercontent.com/omriav/public/master/amt_data/008/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/008/paint_by_example.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/009/input_visualizations.jpg,bird,https://raw.githubusercontent.com/omriav/public/master/amt_data/009/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/009/paint_by_example.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/010/input_visualizations.jpg,fireplug,https://raw.githubusercontent.com/omriav/public/master/amt_data/010/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/010/paint_by_example.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/011/input_visualizations.jpg,sheep,https://raw.githubusercontent.com/omriav/public/master/amt_data/011/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/011/paint_by_example.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/012/input_visualizations.jpg,bench,https://raw.githubusercontent.com/omriav/public/master/amt_data/012/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/012/paint_by_example.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/013/input_visualizations.jpg,fire hydrant,https://raw.githubusercontent.com/omriav/public/master/amt_data/013/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/013/paint_by_example.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/014/input_visualizations.jpg,zebra,https://raw.githubusercontent.com/omriav/public/master/amt_data/014/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/014/paint_by_example.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/015/input_visualizations.jpg,bird,https://raw.githubusercontent.com/omriav/public/master/amt_data/015/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/015/paint_by_example.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/016/input_visualizations.jpg,pew (church bench),https://raw.githubusercontent.com/omriav/public/master/amt_data/016/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/016/paint_by_example.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/017/input_visualizations.jpg,elephant,https://raw.githubusercontent.com/omriav/public/master/amt_data/017/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/017/paint_by_example.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/018/input_visualizations.jpg,trailer truck,https://raw.githubusercontent.com/omriav/public/master/amt_data/018/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/018/paint_by_example.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/019/input_visualizations.jpg,giraffe,https://raw.githubusercontent.com/omriav/public/master/amt_data/019/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/019/paint_by_example.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/020/input_visualizations.jpg,bird,https://raw.githubusercontent.com/omriav/public/master/amt_data/020/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/020/paint_by_example.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/021/input_visualizations.jpg,bird,https://raw.githubusercontent.com/omriav/public/master/amt_data/021/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/021/paint_by_example.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/022/input_visualizations.jpg,giraffe,https://raw.githubusercontent.com/omriav/public/master/amt_data/022/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/022/paint_by_example.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/023/input_visualizations.jpg,zebra,https://raw.githubusercontent.com/omriav/public/master/amt_data/023/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/023/paint_by_example.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/024/input_visualizations.jpg,giraffe,https://raw.githubusercontent.com/omriav/public/master/amt_data/024/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/024/paint_by_example.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/025/input_visualizations.jpg,fireplug,https://raw.githubusercontent.com/omriav/public/master/amt_data/025/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/025/paint_by_example.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/026/input_visualizations.jpg,bench,https://raw.githubusercontent.com/omriav/public/master/amt_data/026/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/026/paint_by_example.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/027/input_visualizations.jpg,kite,https://raw.githubusercontent.com/omriav/public/master/amt_data/027/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/027/paint_by_example.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/028/input_visualizations.jpg,giraffe,https://raw.githubusercontent.com/omriav/public/master/amt_data/028/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/028/paint_by_example.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/029/input_visualizations.jpg,sheep,https://raw.githubusercontent.com/omriav/public/master/amt_data/029/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/029/paint_by_example.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/030/input_visualizations.jpg,giraffe,https://raw.githubusercontent.com/omriav/public/master/amt_data/030/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/030/paint_by_example.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/031/input_visualizations.jpg,airplane,https://raw.githubusercontent.com/omriav/public/master/amt_data/031/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/031/paint_by_example.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/032/input_visualizations.jpg,suitcase,https://raw.githubusercontent.com/omriav/public/master/amt_data/032/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/032/paint_by_example.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/033/input_visualizations.jpg,bird,https://raw.githubusercontent.com/omriav/public/master/amt_data/033/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/033/paint_by_example.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/034/input_visualizations.jpg,fire hydrant,https://raw.githubusercontent.com/omriav/public/master/amt_data/034/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/034/paint_by_example.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/035/input_visualizations.jpg,bench,https://raw.githubusercontent.com/omriav/public/master/amt_data/035/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/035/paint_by_example.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/036/input_visualizations.jpg,cock,https://raw.githubusercontent.com/omriav/public/master/amt_data/036/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/036/paint_by_example.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/037/input_visualizations.jpg,zebra,https://raw.githubusercontent.com/omriav/public/master/amt_data/037/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/037/paint_by_example.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/038/input_visualizations.jpg,cow,https://raw.githubusercontent.com/omriav/public/master/amt_data/038/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/038/paint_by_example.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/039/input_visualizations.jpg,bird,https://raw.githubusercontent.com/omriav/public/master/amt_data/039/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/039/paint_by_example.jpg
